Timestamp,CPU_Percent,Memory_Value,Memory_Unit,API_Phase
2025-04-03T14:01:59.565Z,0.01,521.50,MiB,FINISHED_OK
2025-04-03T14:02:04.669Z,0.00,521.40,MiB,FINISHED_OK
2025-04-03T14:02:09.671Z,0.00,521.10,MiB,FINISHED_OK
2025-04-03T14:02:14.675Z,0.00,521.10,MiB,FINISHED_OK
2025-04-03T14:02:19.679Z,0.00,521.10,MiB,FINISHED_OK
2025-04-03T14:02:24.682Z,0.01,521.10,MiB,FINISHED_OK
2025-04-03T14:02:29.685Z,0.00,521.10,MiB,FINISHED_OK
2025-04-03T14:02:34.689Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:02:39.692Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:02:44.696Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:02:49.697Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:02:54.701Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:02:59.705Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:04.708Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:09.711Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:14.714Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:19.717Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:24.721Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:29.724Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:34.727Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:39.730Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:44.733Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:49.736Z,0.00,241.20,MiB,FINISHED_OK
2025-04-03T14:03:54.737Z,0.00,241.20,MiB,FINISHED_OK
